(Synset(discolor.v.03), [9, 2])
(Synset(dainty.n.01), [9, 2])
(Synset(condition.n.03), [9, 2])
(Synset(bread.n.01), [9, 2])
(Synset(transgression.n.01), [9, 2])
(Synset(bad.n.01), [8, 2])
(Synset(tactile_property.n.01), [8, 2])
(Synset(clock_time.n.01), [8, 2])
(Synset(legal_document.n.01), [8, 2])
(Synset(gambling.n.01), [8, 2])
(Synset(amerind.n.01), [8, 2])
(Synset(ape.n.01), [8, 2])
(Synset(recording.n.03), [8, 2])
(Synset(indicator.n.02), [8, 2])
(Synset(mound.n.04), [8, 2])
(Synset(standing.n.01), [8, 2])
(Synset(produce.n.01), [8, 2])
(Synset(watch.v.01), [8, 2])
(Synset(rod.n.01), [8, 2])
(Synset(oppose.v.06), [8, 2])
(Synset(disagreement.n.03), [7, 2])
(Synset(faculty.n.01), [7, 2])
(Synset(bovine.n.01), [7, 2])
(Synset(property.n.01), [7, 2])
(Synset(coexist.v.02), [7, 2])
(Synset(plan.v.01), [7, 2])
(Synset(military_action.n.01), [7, 2])
(Synset(bird.n.02), [7, 2])
(Synset(sensing.n.02), [7, 2])
(Synset(gramineous_plant.n.01), [7, 2])
(Synset(disrespect.n.01), [7, 2])
(Synset(problem_solving.n.02), [7, 2])
(Synset(gallinaceous_bird.n.01), [7, 2])
(Synset(institution.n.02), [7, 2])
(Synset(being.n.01), [7, 2])
(Synset(spermatophyte.n.01), [7, 2])
(Synset(engine.n.01), [7, 2])
(Synset(vine.n.01), [7, 2])
(Synset(field_game.n.01), [6, 2])
(Synset(store.v.01), [6, 2])
(Synset(discontentment.n.01), [6, 2])
(Synset(indentation.n.01), [6, 2])
(Synset(folk_dancing.n.01), [6, 2])
(Synset(symbol.n.02), [6, 2])
(Synset(present.v.02), [6, 2])
(Synset(exercise.n.01), [6, 2])
(Synset(entrant.n.03), [6, 2])
(Synset(engineering.n.02), [6, 2])
(Synset(impregnate.v.02), [6, 2])
(Synset(transfer.n.06), [6, 2])
(Synset(photographic_equipment.n.01), [6, 2])
